obs,daily_points,ic_mean,ic_ir,spread_ann_ret,spread_sharpe,sample,period,method
2323516,685,-0.05964983481998592,-0.5080429277198084,0.7590490783992283,3.8487870664193946,全市场,2017-2019,static
2064514,685,-0.06071002878836454,-0.5367501108149983,0.6699894781060287,3.7194461617973613,全市场,2017-2019,rolling
3197539,727,-0.059107556774124194,-0.4441032513731117,0.4321251755820452,1.942274936728232,全市场,2020-2022,static
2883115,727,-0.05947938829533688,-0.44561446242456093,0.42681316334969566,1.9334845687416908,全市场,2020-2022,rolling
4227639,797,-0.06828627331037412,-0.5024002565022807,0.32526493077235097,1.4044983658855343,全市场,2023-2026YTD,static
4067324,797,-0.06759876928472329,-0.48766479328095025,0.31591129244926486,1.3919282740219387,全市场,2023-2026YTD,rolling
412225,685,-0.025722983656638675,-0.1566941023561171,0.01578719792490335,0.1772522443303399,中证800,2017-2019,static
380616,685,-0.026125361229569318,-0.16051088888804899,0.001090368613030357,0.09847503760875709,中证800,2017-2019,rolling
524064,727,-0.026696010108689563,-0.1386791415109958,-0.1756589342077527,-0.6062169605170422,中证800,2020-2022,static
494919,727,-0.027686229800966168,-0.14448423999138826,-0.1753326526208867,-0.634820678495661,中证800,2020-2022,rolling
629938,797,-0.04433082096700399,-0.24739238243607822,-0.1437520906399945,-0.506492938699866,中证800,2023-2026YTD,static
620133,797,-0.0450091333313052,-0.24640279805250154,-0.15483983427817405,-0.5614978947743092,中证800,2023-2026YTD,rolling
455372,685,-0.048493600045065206,-0.3516245754670911,0.3649609118142323,1.8507208903947812,中证1000,2017-2019,static
407882,685,-0.04957262143533588,-0.36978057448078394,0.33844666927992173,1.862975126744567,中证1000,2017-2019,rolling
602957,727,-0.04775660676601198,-0.29789440957449387,0.1050513214211497,0.5437467728833689,中证1000,2020-2022,static
560035,727,-0.048747359583425284,-0.3067946294390295,0.0636798262035132,0.38172727722767563,中证1000,2020-2022,rolling
775761,797,-0.059467600386939885,-0.3548036204739156,0.10613738137603801,0.5485539792537177,中证1000,2023-2026YTD,static
749988,797,-0.05900654796989198,-0.3424819869221393,0.0725381572959487,0.41175081536351904,中证1000,2023-2026YTD,rolling
